window_id,period_start,period_end,driver_number,pillar,rank,combined_score,mi_score,correlation,binary_auc_score,three_class_f1_score
1,2020-01-06,2020-12-28,1,Environmental,1,0.647354285474006,0.15841359771069508,0.5274167578886452,0.8324074074074073,0.3869493596896753
1,2020-01-06,2020-12-28,15,Social,2,0.40414552008586535,0.09211068214079754,0.1465881578273242,0.5925925925925926,0.4402068519715579
1,2020-01-06,2020-12-28,12,Social,3,0.2662612373425641,0.049134926655935995,0.1681148022734176,0.6037037037037037,0.28238265002970886
1,2020-01-06,2020-12-28,24,Governance,4,0.15387499190406997,0.0,0.15307868264604443,0.5935185185185186,0.24865449628127115
1,2020-01-06,2020-12-28,13,Social,5,0.13037402633399373,0.0,0.011699666910493104,0.5074074074074074,0.31521334821191344
1,2020-01-06,2020-12-28,3,Environmental,6,0.1246957701771973,0.0,0.026311740579210874,0.5166666666666667,0.28761712453725846
2,2020-04-06,2021-03-29,1,Environmental,1,0.5708833686012098,0.10103002268006023,0.4112799685779687,0.7583333333333333,0.30288175876411166
2,2020-04-06,2021-03-29,3,Environmental,2,0.3185015382279335,0.06058147340798148,0.11694106924093722,0.5740740740740741,0.2393148768088988
2,2020-04-06,2021-03-29,12,Social,3,0.2811493130677962,0.05780595574218861,0.042435590356082194,0.525925925925926,0.23603683897801547
2,2020-04-06,2021-03-29,24,Governance,4,0.20199928032831083,0.02994568762513694,0.0653623213292149,0.5388888888888889,0.22591391250986237
2,2020-04-06,2021-03-29,13,Social,5,0.13678552310720254,0.0,0.020467002519911383,0.512962962962963,0.3232017287493137
2,2020-04-06,2021-03-29,15,Social,6,0.11219845013198754,0.0,0.029487184618955886,0.5185185185185185,0.2536620791044512
3,2020-07-06,2021-06-28,13,Social,1,0.5134895611324414,0.16797691821692173,0.19912774080934584,0.6159874608150471,0.36384860921112633
3,2020-07-06,2021-06-28,3,Environmental,2,0.34860960465120994,0.058205616533855364,0.3496527610237563,0.7037617554858935,0.31323301413588694
3,2020-07-06,2021-06-28,12,Social,3,0.3032803135710072,0.0770814110584388,0.16320495964093293,0.5877742946708464,0.283921568627451
3,2020-07-06,2021-06-28,15,Social,4,0.1423859444446893,0.0,0.10873045747835364,0.5626959247648903,0.2640036479708162
3,2020-07-06,2021-06-28,24,Governance,5,0.1338058906363305,0.0,0.09471716407732712,0.5509404388714734,0.2589995324918186
3,2020-07-06,2021-06-28,1,Environmental,6,0.1240688502706436,0.0,0.0423518655763725,0.524294670846395,0.27450980392156865
4,2020-10-05,2021-09-27,15,Social,1,0.4858107476629725,0.09303985870965659,0.08251275144849318,0.5508928571428572,0.39059670379779815
4,2020-10-05,2021-09-27,13,Social,2,0.4211025047723803,0.07706934283702815,0.2527488626633951,0.6571428571428571,0.2034733893557423
4,2020-10-05,2021-09-27,1,Environmental,3,0.2082770415530798,0.0,0.23847754197784596,0.6464285714285715,0.3078471968497544
4,2020-10-05,2021-09-27,3,Environmental,4,0.15348938013689864,0.0,0.15502569797606794,0.5964285714285714,0.2438095238095238
4,2020-10-05,2021-09-27,24,Governance,5,0.10910783950885751,0.007374775261837829,0.012133561916989513,0.5071428571428571,0.20287581699346408
4,2020-10-05,2021-09-27,12,Social,6,0.09098601080160153,0.0,0.010888116758753806,0.5062500000000001,0.21829151240915948
5,2021-01-04,2021-12-27,3,Environmental,1,0.4722357340317942,0.2813609390403884,0.12122852913115643,0.5723684210526316,0.32497524262230143
5,2021-01-04,2021-12-27,13,Social,2,0.4532026625476191,0.22910029643859442,0.28391346262904427,0.669407894736842,0.2750643691820162
5,2021-01-04,2021-12-27,15,Social,3,0.3047351928725889,0.13639781595169587,0.08458443173181501,0.5501644736842105,0.32497524262230143
5,2021-01-04,2021-12-27,24,Governance,4,0.18744964963549177,0.03153223064766619,0.17996054119005866,0.6036184210526316,0.23255323634830274
5,2021-01-04,2021-12-27,1,Environmental,5,0.17286438991646896,0.0,0.22187208100576805,0.6307565789473684,0.24098124098124096
5,2021-01-04,2021-12-27,12,Social,6,0.12163000728109745,0.0,0.057150237891161824,0.5296052631578947,0.25992465951898003
6,2021-04-05,2022-03-28,13,Social,1,0.5340223382700623,0.23720884508422846,0.2912872164927637,0.6782006920415224,0.3258940785616572
6,2021-04-05,2022-03-28,15,Social,2,0.3536547260609432,0.14154046741787774,0.02849353640451071,0.5173010380622838,0.4114303085575316
6,2021-04-05,2022-03-28,3,Environmental,3,0.17285560092715418,0.03949442180508633,0.07912214658604305,0.5484429065743945,0.23682279113195664
6,2021-04-05,2022-03-28,24,Governance,4,0.13312708047170646,0.0,0.14973139996134505,0.5899653979238755,0.20164452877925365
6,2021-04-05,2022-03-28,12,Social,5,0.12681225867977816,0.0,0.07906817357665434,0.5380622837370242,0.2595692703310833
6,2021-04-05,2022-03-28,1,Environmental,6,0.10639653080341024,0.0,0.017096121842706424,0.5103806228373703,0.2508785332314744
7,2021-07-05,2022-06-27,13,Social,1,0.497538170257928,0.12468391700839865,0.11158733068836808,0.5673400673400673,0.3957219251336898
7,2021-07-05,2022-06-27,12,Social,2,0.15454424943948278,0.0,0.08007745994934035,0.537037037037037,0.3300546448087432
7,2021-07-05,2022-06-27,15,Social,3,0.14350895588123275,0.0,0.0169408526216832,0.5101010101010102,0.34402852049910876
7,2021-07-05,2022-06-27,3,Environmental,4,0.13743347270910272,0.0,0.1142864080343024,0.569023569023569,0.24301841948900774
7,2021-07-05,2022-06-27,24,Governance,5,0.12219741072526817,0.0,0.1154575705988963,0.5681818181818183,0.20583405776103544
7,2021-07-05,2022-06-27,1,Environmental,6,0.10064719075899442,0.0,0.002823540979513384,0.5016835016835017,0.2491606571706697
8,2021-10-04,2022-09-26,24,Governance,1,0.37687313041702164,0.05812237445234336,0.013341998990938615,0.5077854671280277,0.18078324225865208
8,2021-10-04,2022-09-26,13,Social,2,0.20821670626287897,0.010565076246256577,0.10185760639820349,0.5622837370242214,0.293625170998632
8,2021-10-04,2022-09-26,15,Social,3,0.15252459484052877,0.0,0.07749975604181834,0.5467128027681661,0.31323301413588694
8,2021-10-04,2022-09-26,1,Environmental,4,0.13868191275891414,0.0,0.14311439583974578,0.5865051903114187,0.2206839945280438
8,2021-10-04,2022-09-26,3,Environmental,5,0.13237544019405195,0.002534301854618448,0.09042531038404919,0.5553633217993079,0.21772913816689468
8,2021-10-04,2022-09-26,12,Social,6,0.12348261424877055,0.0,0.08029654267849168,0.5294117647058824,0.2619047619047619
9,2022-01-03,2022-12-26,3,Environmental,1,0.43257951475634854,0.17978805215032256,0.10640761554118809,0.5629032258064517,0.2395188026901582
9,2022-01-03,2022-12-26,12,Social,2,0.3097582437672043,0.09678549020266902,0.07084919756894,0.529032258064516,0.32550085251491895
9,2022-01-03,2022-12-26,24,Governance,3,0.18012290297212075,0.012779368425945847,0.1713532795682887,0.5943548387096775,0.25763440860215053
9,2022-01-03,2022-12-26,13,Social,4,0.1513508905782548,0.0,0.1050933584427224,0.5620967741935483,0.28761958889836126
9,2022-01-03,2022-12-26,15,Social,5,0.13939598479049778,0.0,0.03570178199646331,0.5209677419354839,0.31781756180733167
9,2022-01-03,2022-12-26,1,Environmental,6,0.13693519852352906,0.0,0.09396374307215773,0.5548387096774193,0.2620441413280288
10,2022-04-04,2023-03-27,12,Social,1,0.43495760864991223,0.1555628623502594,0.09544962507663031,0.5462962962962963,0.2675924481198315
10,2022-04-04,2023-03-27,3,Environmental,2,0.37927472840029675,0.13122223769942387,0.11109401577889035,0.5703703703703704,0.2136881769593391
10,2022-04-04,2023-03-27,24,Governance,3,0.1716818979957446,0.02813984096634936,0.14412451795738723,0.5814814814814815,0.1736694677871148
10,2022-04-04,2023-03-27,1,Environmental,4,0.16271506389311768,0.0001971238663749375,0.1906631471853795,0.6185185185185185,0.23385624418622983
10,2022-04-04,2023-03-27,13,Social,5,0.14240106036067401,0.0,0.06586434446838207,0.5416666666666666,0.29568627450980395
10,2022-04-04,2023-03-27,15,Social,6,0.1255005142090075,0.0,0.10271224718340488,0.5648148148148148,0.21989373610607468
11,2022-07-04,2023-06-26,12,Social,1,0.4183784606010949,0.16360228957758727,0.011785779929484286,0.5051903114186851,0.2879850397381954
11,2022-07-04,2023-06-26,13,Social,2,0.24723883819415982,0.039305407105964196,0.13857353017616916,0.5847750865051903,0.3146192430460556
11,2022-07-04,2023-06-26,15,Social,3,0.21451785811662066,0.054586367975160366,0.005667633001756719,0.5034602076124567,0.2810213042771182
11,2022-07-04,2023-06-26,3,Environmental,4,0.21130595217850634,0.04816070105960102,0.13563796557607377,0.5830449826989619,0.18672138622891016
11,2022-07-04,2023-06-26,1,Environmental,5,0.17688339018659038,0.0,0.28411259363981345,0.6721453287197232,0.19151274036184524
11,2022-07-04,2023-06-26,24,Governance,6,0.09514707354545286,0.0,0.00976851545236498,0.5051903114186851,0.23015873015873015
12,2022-10-03,2023-09-25,12,Social,1,0.4112767385796428,0.19604112873439572,0.010354882432891597,0.5044642857142857,0.2713171290021385
